id_instituicao_de_ensino,nome_da_ies
52478,FACULDADE TRÊS DE MAIO
53434,FACULDADES INTEGRADAS SÃO JUDAS TADEU
53441,CENTRO UNIVERSITÁRIO DE FORMIGA
53730,FACULDADES DOCTUM DE CARATINGA
53792,FACULDADE DOCTUM DE JOÃO MONLEVADE
53798,FACULDADES UNIFICADAS DE LEOPOLDINA
53807,FACULDADE DOCTUM DE SERRA
53811,FACULDADE DOCTUM DE MANHUAÇU - DOCTUM
53827,FACULDADE DOCTUM DE VITÓRIA
53853,FACULDADE DOCTUM DE JUIZ DE FORA
53879,FACULDADES DOCTUM DE GUARAPARI
53887,CENTRO UNIVERSITÁRIO DOCTUM DE TEÓFILO OTONI
53920,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS
53948,FACULDADE DOCTUM DE CARANGOLA
53960,FACULDADE DOCTUM DE VILA VELHA
53988,FACULDADES DOCTUM DE IPATINGA
54032,FACULDADE DOCTUM DA ZONA NORTE DE JUIZ DE FORA
54220,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE UBÁ
54239,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE CONSELHEIRO LAFAIETE
54414,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL
54486,FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM
54491,"FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS"
54627,FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM
54720,CENTRO UNIVERSITÁRIO CESMAC
54815,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE UBERLÂNDIA
54874,FACULDADE DE EDUCAÇÃO E ESTUDOS SOCIAIS DE UBERLÂNDIA
54973,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE UBERABA
55040,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE PONTE NOVA
55054,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE GOVERNADOR VALADARES
55072,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE LEOPOLDINA
55084,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE MARIANA
55095,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE ITABIRITO
55097,FACULDADE PRESIDENTE ANTÔNIO CARLOS DE NOVA LIMA
55104,UNIVERSIDADE NOVE DE JULHO
55683,FACULDADE MARECHAL RONDON
57644,FACULDADE CESMAC DO SERTÃO
57661,FACULDADE CNEC SANTO ÂNGELO
57662,FACULDADE CNEC CAMPO LARGO
57663,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO
57664,FACULDADE CNEC UNAÍ
57806,FACULDADE CESMAC DO AGRESTE
57915,FACULDADE CNEC GRAVATAÍ
57916,FACULDADE CNEC RIO DAS OSTRAS
57924,FACULDADE CNEC VARGINHA
57993,CENTRO UNIVERSITÁRIO CNEC DE BENTO GONÇALVES
58011,FACULDADE CNEC JOINVILLE
58021,FACULDADE CNEC FARROUPILHA
58031,FACULDADE CNEC ITABORAÍ
58311,FACULDADE CNEC ITAJAÍ
58512,LIBERTAS - FACULDADES INTEGRADAS
58552,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING
58556,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE
58566,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO
58939,FACULDADE DE DIREITO MILTON CAMPOS
59000,UNIVERSIDADE POSITIVO
59022,FACULDADE PIO DÉCIMO
59029,UNIVERSIDADE SALGADO DE OLIVEIRA
59073,FACULDADE DE ADMINISTRAÇÃO MILTON CAMPOS
59368,FACULDADE NOVE DE JULHO DE BAURU
59418,FACULDADE NOVE DE JULHO DE OSASCO
59461,FACULDADE NOVE DE JULHO GUARULHOS
59473,FACULDADE NOVE DE JULHO MAUÁ
60014,FACULDADES ASSOCIADAS DE UBERABA - FAZU
60610,CENTRO UNIVERSITÁRIO DO TRIÂNGULO
64233,FACULDADES INTEGRADAS VIANNA JÚNIOR
64276,UNIVERSIDADE IGUAÇU
64955,CENTRO UNIVERSITÁRIO ACADEMIA
64994,FACULDADE  ARNALDO JANSSEN
65244,CENTRO UNIVERSITÁRIO NEWTON PAIVA
65821,ESCOLA DE ENGENHARIA KENNEDY
65829,INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA
65845,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS
67523,CENTRO UNIVERSITÁRIO DE JOÃO PESSOA
68250,UNIVERSIDADE TUIUTI DO PARANÁ
68612,CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO
68657,FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
68663,ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO
